day,treatment,source,ops_type_merged,city_group,trip_cnt,nonrepeat_cnt,match_rate,is_weekend_holiday,is_rainy,user_cnt,trip_cnt_per_user,nonrepeat_cnt_per_user,trip_cnt_per_user_lag2w,nonrepeat_cnt_per_user_lag2w,match_rate_lag2w,trip_cnt_per_user_lag3w,nonrepeat_cnt_per_user_lag3w,match_rate_lag3w,face_value,face_value_num
2025-11-25,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,19.0,26.0,0.8076923076923077,0,0.0,794.0,0.0239294710327455,0.0327455919395466,0.0260663507109004,0.0331753554502369,0.7692307692307693,0.0228855721393034,0.0278606965174129,0.925925925925926,15,2
2025-11-26,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,14.0,17.0,0.8235294117647058,0,0.0,794.0,0.017632241813602,0.0214105793450881,0.0118483412322274,0.0236966824644549,0.7,0.026865671641791,0.0398009950248756,0.75,15,2
2025-11-27,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,20.0,32.0,0.7419354838709677,0,0.0,794.0,0.0251889168765743,0.0403022670025188,0.0426540284360189,0.0734597156398104,0.7096774193548387,0.0189054726368159,0.0258706467661691,0.7692307692307693,15,2
2025-11-28,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,18.0,24.0,0.72,0,0.0,794.0,0.0226700251889168,0.0302267002518891,0.0260663507109004,0.0521327014218009,0.6086956521739131,0.0238805970149253,0.0378109452736318,0.6486486486486487,15,2
2025-11-29,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,21.0,35.0,0.6764705882352942,1,0.0,794.0,0.026448362720403,0.044080604534005,0.0213270142180094,0.0331753554502369,0.6923076923076923,0.0159203980099502,0.0208955223880597,0.8181818181818182,15,2
2025-11-30,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,23.0,31.0,0.8387096774193549,1,0.0,794.0,0.0289672544080604,0.0390428211586901,0.0213270142180094,0.0284360189573459,0.8333333333333334,0.0189054726368159,0.0258706467661691,0.7777777777777778,15,2
2025-12-01,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,29.0,38.0,0.8235294117647058,0,0.0,779.0,0.0372272143774069,0.048780487804878,0.0249702734839476,0.0392390011890606,0.6388888888888888,0.0473933649289099,0.0663507109004739,0.7931034482758621,15,2
2025-12-02,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,20.0,27.0,0.84,0,0.0,779.0,0.0256739409499358,0.0346598202824133,0.0237812128418549,0.0451843043995243,0.6388888888888888,0.0260663507109004,0.0331753554502369,0.7692307692307693,15,2
2025-12-03,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,16.0,26.0,0.7307692307692307,0,0.125,779.0,0.0205391527599486,0.0333761232349165,0.0297265160523186,0.0451843043995243,0.7105263157894737,0.0118483412322274,0.0236966824644549,0.7,15,2
2025-12-04,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,12.0,16.0,0.7647058823529411,0,0.375,779.0,0.0154043645699614,0.0205391527599486,0.0214030915576694,0.0356718192627824,0.6785714285714286,0.0426540284360189,0.0734597156398104,0.7096774193548387,15,2
2025-12-05,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,16.0,23.0,0.72,0,0.25,779.0,0.0205391527599486,0.0295250320924261,0.0297265160523186,0.0428061831153388,0.8378378378378378,0.0260663507109004,0.0521327014218009,0.6086956521739131,15,2
2025-12-06,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,22.0,38.0,0.6666666666666666,1,0.25,779.0,0.0282413350449293,0.048780487804878,0.0297265160523186,0.0416171224732461,0.8055555555555556,0.0213270142180094,0.0331753554502369,0.6923076923076923,15,2
2025-12-07,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,17.0,25.0,0.84,1,0.25,779.0,0.0218228498074454,0.0320924261874197,0.0249702734839476,0.0416171224732461,0.65625,0.0213270142180094,0.0284360189573459,0.8333333333333334,15,2
2025-12-08,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,19.0,25.0,0.8,0,0.25,765.0,0.0248366013071895,0.0326797385620915,0.026448362720403,0.0302267002518891,0.9565217391304348,0.0249702734839476,0.0392390011890606,0.6388888888888888,15,2
2025-12-09,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,19.0,28.0,0.7037037037037037,0,0.375,765.0,0.0248366013071895,0.0366013071895424,0.0239294710327455,0.0327455919395466,0.8076923076923077,0.0237812128418549,0.0451843043995243,0.6388888888888888,15,2
2025-12-10,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,11.0,18.0,0.6666666666666666,0,0.0,765.0,0.0143790849673202,0.0235294117647058,0.017632241813602,0.0214105793450881,0.8235294117647058,0.0297265160523186,0.0451843043995243,0.7105263157894737,15,2
2025-12-11,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,23.0,25.0,0.8461538461538461,0,0.0,765.0,0.0300653594771241,0.0326797385620915,0.0251889168765743,0.0403022670025188,0.7419354838709677,0.0214030915576694,0.0356718192627824,0.6785714285714286,15,2
2025-12-12,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,19.0,43.0,0.6190476190476191,0,0.0,765.0,0.0248366013071895,0.0562091503267973,0.0226700251889168,0.0302267002518891,0.72,0.0297265160523186,0.0428061831153388,0.8378378378378378,15,2
